Id,Probability
1,0.29310533
2,0.24927878
3,0.07522515
4,0.2869972
5,0.5296281
6,0.18462631
7,0.12811115
8,0.2186348
9,0.01159846
10,0.80027956
11,0.07790612
12,0.10451025
13,0.03537698
14,0.40042114
15,0.24638289
16,0.08913005
17,0.1977044
18,0.06700914
19,0.71090823
20,0.36996916
21,0.03738931
22,0.07861397
23,0.020503368
24,0.7323685
25,0.2530942
26,0.14934282
27,0.42774472
28,0.054254483
29,0.1935547
30,0.097223975
31,0.24020745
32,0.020659719
33,0.12043923
34,0.30104172
35,0.7158338
36,0.26496202
37,0.20551048
38,0.13518345
39,0.09254476
40,0.5247193
41,0.7891442
42,0.75798136
43,0.4209385
44,0.041949857
45,0.20300043
46,0.016636472
47,0.030696133
48,0.09996027
49,0.0831834
50,0.11712182
51,0.091858126
52,0.12284181
53,0.031155692
54,0.34187067
55,0.11642824
56,0.35965788
57,0.009361221
58,0.62365216
59,0.5543704
60,0.33894554
61,0.11714561
62,0.032314885
63,0.23360063
64,0.03342038
65,0.0995735
66,0.07019158
67,0.0697197
68,0.5310876
69,0.06000116
70,0.96595967
71,0.0967321
72,0.35983515
73,0.033555206
74,0.6371456
75,0.070003465
76,0.15100105
77,0.36106324
78,0.1993957
79,0.4207391
80,0.09782768
81,0.03183345
82,0.08683805
83,0.21052168
84,0.04481998
85,0.07536645
86,0.08622321
87,0.16277727
88,0.043161094
89,0.21638814
90,0.057890303
91,0.33551276
92,0.10086898
93,0.053392507
94,0.13147968
95,0.023027558
96,0.73344946
97,0.1364303
98,0.4528727
99,0.059988298
100,0.09359842
101,0.18599024
102,0.246606
103,0.025807073
104,0.26562452
105,0.26223087
106,0.20319389
107,0.8877434
108,0.09994414
109,0.025683518
110,0.16116524
111,0.1431155
112,0.2490555
113,0.09989435
114,0.9310464
115,0.40241557
116,0.12687695
117,0.013157108
118,0.4166771
119,0.11374063
120,0.034336295
121,0.04931743
122,0.29591566
123,0.05966195
124,0.9715234
125,0.024307996
126,0.07085977
127,0.024785468
128,0.06521649
129,0.025241598
130,0.25298768
131,0.1417064
132,0.2715946
133,0.024806038
134,0.45933163
135,0.5422981
136,0.048622444
137,0.66596437
138,0.15729424
139,0.0197983
140,0.078959465
141,0.01914668
142,0.10392758
143,0.024114713
144,0.16857624
145,0.8525191
146,0.057108182
147,0.013016507
148,0.37787625
149,0.036886428
150,0.30289257
151,0.029410593
152,0.049302008
153,0.03376152
154,0.058283284
155,0.09820846
156,0.12593767
157,0.13687998
158,0.027835397
159,0.65619284
160,0.18398955
161,0.028575877
162,0.036579736
163,0.09642624
164,0.24014625
165,0.089701675
166,0.13201557
167,0.96017736
168,0.1100333
169,0.78392375
170,0.080404386
171,0.016219687
172,0.15131624
173,0.08914857
174,0.19267152
175,0.14900534
176,0.9493912
177,0.13916938
178,0.46325067
179,0.104766235
180,0.07529373
181,0.19862558
182,0.059932888
183,0.14714795
184,0.13788106
185,0.59019834
186,0.035247255
187,0.049816042
188,0.11621932
189,0.34604785
190,0.07632384
191,0.13226938
192,0.20733675
193,0.10705364
194,0.232681
195,0.044333767
196,0.14142479
197,0.066283286
198,0.062204033
199,0.035303738
200,0.06035876
201,0.32763347
202,0.16165593
203,0.72754276
204,0.17830192
205,0.13806374
206,0.026265293
207,0.06696908
208,0.0289926
209,0.28362125
210,0.017471962
211,0.3384475
212,0.16894495
213,0.11849942
214,0.043049674
215,0.10767411
216,0.33003858
217,0.031481985
218,0.44602337
